,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5701,F,8,1,,,,,,,,,,,283787.789,0.921,1261.0,56.09,1.0,20.674,13.65,12.063,230.583,1230.741,6345.225,13394436.291,2110.947,0.238,166.436,2,334.078,13.65,12.063,1.053,151.101,0,0,16,43,241.568,89418.531,0.807,37.0,769026.283,284.452,797034.44,1.055,65874.286,34.0
5702,F,8,2,,,,,,,,,,,247923.444,0.845,1065.0,59.556,1.017,21.935,16.79,14.27,238.505,1039.49,6752.949,18425732.809,2728.546,0.272,174.928,2,354.964,16.79,14.27,1.44,164.549,0,0,16,43,2.641,1280.764,0.954,2.0,1783.822,201.536,460067.045,1.153,67496.658,38.0
5703,F,8,3,,,,,,,,,,,241818.862,0.925,1611.0,45.129,0.926,16.79,11.656,12.953,149.884,1613.372,11939.568,17061906.223,1429.022,0.217,164.204,4,287.557,11.656,12.953,0.977,120.529,0,2,16,43,33.484,17139.227,0.961,18.0,32480.597,350.258,973887.776,1.175,49990.544,26.0
5704,F,8,4,,,,,,,,,,,316433.375,0.861,1189.0,62.411,1.049,22.655,13.039,12.25,266.918,1185.506,8538.599,23481946.427,2750.094,0.165,257.752,6,457.802,13.039,12.25,0.888,196.853,0,2,16,43,86.508,43496.077,0.983,61.0,61775.919,74.255,163633.536,1.061,180505.952,91.0
5705,F,8,5,,,,,,,,,,,303227.412,0.861,1178.0,61.797,1.051,22.452,27.625,31.243,261.531,1159.43,8300.697,23665014.198,2850.967,0.332,217.913,6,328.565,27.625,31.243,0.778,129.672,0,2,16,43,19.541,10724.267,1.027,12.0,19216.328,238.61,529758.938,1.189,143339.933,81.0
5706,F,8,6,,,,,,,,,,,306507.539,0.953,1566.0,50.813,1.0,18.281,17.67,15.405,195.832,1565.158,11423.027,19533248.355,1709.989,0.375,172.739,7,239.385,17.67,15.405,1.179,93.528,0,1,16,43,294.17,248044.661,0.847,83.0,1184317.692,332.724,1212102.553,0.94,176656.015,66.0
5707,F,8,7,,,,,,,,,,,568054.49,0.868,1663.5,70.88,1.059,26.528,24.808,15.264,346.878,1637.622,9905.386,26042758.607,2629.151,0.312,206.077,5,325.317,24.808,15.264,1.333,101.121,0,3,16,43,103.514,56327.537,0.936,43.0,171780.303,519.26,1691358.147,1.037,87826.404,41.0
5708,F,8,8,,,,,,,,,,,342256.223,0.922,1306.0,59.776,1.055,21.956,23.901,17.247,262.165,1305.498,6953.443,23586718.493,3392.092,0.374,211.101,4,337.451,23.901,17.247,1.234,143.438,0,2,16,43,144.075,54626.59,0.912,52.0,179296.585,297.973,801874.884,0.952,252390.625,112.0
5709,F,8,9,,,,,,,,,,,469633.751,0.914,1938.0,57.371,1.006,21.381,13.658,10.097,239.35,1962.123,7323.135,14489533.425,1978.597,0.245,198.642,5,318.764,13.658,10.097,0.745,137.047,0,1,16,43,80.276,26910.389,0.95,31.0,78227.365,204.176,672727.266,0.924,73041.145,31.0
5710,F,8,10,,,,,,,,,,,271911.031,0.825,1576.0,50.666,1.15,20.58,9.084,8.96,168.58,1612.949,11477.127,15148772.81,1319.91,0.178,160.343,3,305.506,9.084,8.96,1.483,145.947,0,1,16,43,209.458,111737.344,0.882,76.0,450217.261,151.891,567679.938,0.981,191329.646,72.0
