,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5207,F,8,2,24.294,466132.599,0.913,14.0,805979.955,130.132,132206.986,1.16,69442.933,80.0,286383.774,0.957,1135.0,58.44,0.923,20.027,29.186,31.083,260.158,1100.806,10203.382,27186204.092,2664.431,0.487,119.076,2,262.216,29.186,31.083,1.15,111.137,0,0,11,43,,,,,,,,,,
5208,F,8,3,101.19,1484605.652,0.827,39.0,3971538.659,258.891,261516.424,1.03,71733.135,80.0,322761.464,0.881,1106.0,64.969,1.0,23.398,22.311,17.065,296.071,1090.148,9625.134,26960055.039,2801.006,0.324,214.52,5,329.689,22.311,17.065,0.802,139.412,0,3,11,43,,,,,,,,,,
5209,F,8,4,9.718,90329.6,0.906,3.0,294539.519,55.771,50100.379,1.278,71835.514,86.0,281712.861,0.895,1069.0,61.727,0.975,22.258,22.393,16.102,271.249,1038.576,9524.052,32377887.818,3399.592,0.316,268.557,7,367.54,22.393,16.102,0.733,138.871,0,1,11,43,,,,,,,,,,
5210,F,8,5,177.241,1905935.465,0.801,49.0,7769314.087,496.762,715461.353,1.138,20665.905,22.0,247553.118,0.87,1261.0,52.58,0.918,19.951,11.58,10.254,191.395,1293.412,24326.847,36038104.055,1481.413,0.226,163.064,5,287.101,11.58,10.254,0.979,99.452,0,3,11,43,,,,,,,,,,
5211,F,8,1,59.362,998127.844,0.929,29.0,2142280.676,33.589,33874.129,1.184,40483.086,43.0,295036.704,0.911,1256.0,56.873,0.964,19.982,25.107,26.146,234.597,1257.634,8830.341,16178007.755,1832.093,0.535,134.043,4,207.395,25.107,26.146,1.286,70.787,0,2,12,43,,,,,,,,,,
5212,F,8,2,61.475,481311.683,0.896,15.0,2390731.831,71.509,88940.436,1.13,44679.548,47.0,298617.762,0.9,1474.0,53.75,1.02,20.448,17.126,11.237,206.922,1443.138,11272.023,23211240.807,2059.19,0.349,152.283,3,272.261,17.126,11.237,0.93,109.592,0,1,12,43,,,,,,,,,,
5213,F,8,1,59.89,771605.643,0.854,24.0,1952373.267,85.452,57141.025,1.158,63519.319,104.0,271020.704,0.908,1159.0,57.212,1.031,21.588,20.603,20.698,236.498,1145.975,7959.982,18913473.597,2376.07,0.434,124.307,2,262.283,20.603,20.698,1.052,117.626,0,0,13,43,,,,,,,,,,
5214,F,8,2,98.127,1459151.558,0.924,46.0,3204422.104,116.717,82418.417,1.075,56876.912,90.0,281419.747,0.905,1309.0,54.74,1.026,20.218,15.824,17.441,215.795,1304.106,7522.56,20916586.178,2780.514,0.253,185.525,2,371.435,15.824,17.441,1.045,174.194,0,0,13,43,,,,,,,,,,
5215,F,8,3,89.888,907571.127,0.88,21.0,4226944.268,105.627,82936.304,1.061,18740.431,30.0,265059.668,0.921,1728.0,45.721,0.97,17.174,14.011,14.61,153.159,1730.623,9674.165,11780896.63,1217.769,0.305,140.783,6,223.867,14.011,14.61,0.867,60.947,0,4,13,43,,,,,,,,,,
5216,F,8,4,182.628,3626895.297,0.853,81.0,8038694.094,322.161,266669.523,1.1,45268.376,70.0,512470.823,0.827,2306.0,57.403,1.039,20.92,17.994,15.786,216.851,2363.235,13748.086,18863602.428,1372.089,0.519,112.648,4,182.213,17.994,15.786,0.916,64.668,0,0,13,43,,,,,,,,,,
5217,F,8,5,40.349,570348.547,0.93,17.0,1360389.286,107.845,74267.53,1.228,46012.57,76.0,278048.146,0.969,1224.0,54.766,0.942,18.781,22.455,19.985,231.322,1201.995,9405.366,13152373.538,1398.39,0.583,97.934,3,173.545,22.455,19.985,0.955,70.873,0,1,13,43,,,,,,,,,,
5218,F,8,6,28.519,386848.039,0.918,12.0,956281.198,122.844,85102.705,1.162,66592.74,108.0,287241.356,0.788,1270.5,60.218,1.035,21.535,23.636,25.348,227.308,1263.664,8714.336,25252972.58,2897.865,0.331,177.773,3,331.629,23.636,25.348,1.104,145.935,0,1,13,43,,,,,,,,,,
5219,F,8,7,70.559,1222984.047,0.941,33.0,2668423.382,117.457,79893.942,1.074,59031.731,94.0,406848.253,0.959,1662.0,56.896,0.961,20.099,25.025,27.625,247.166,1646.051,9535.574,17465023.851,1831.565,0.553,142.787,5,204.068,25.025,27.625,0.746,80.657,0,1,13,43,,,,,,,,,,
5220,F,8,8,84.713,1631089.854,0.894,38.0,3639926.11,361.032,295705.848,1.15,44508.052,72.0,314411.366,0.875,1137.5,63.03,1.009,21.945,21.798,17.381,276.53,1136.987,11103.453,23619418.582,2127.214,0.419,171.838,6,252.627,21.798,17.381,1.222,94.134,0,2,13,43,,,,,,,,,,
5221,F,8,9,203.754,1967987.825,0.787,44.0,9520103.665,467.503,479986.212,1.123,22774.086,34.0,279449.494,0.691,1834.5,51.638,1.232,21.151,9.286,8.565,146.61,1906.078,14066.849,17266867.216,1227.487,0.182,162.139,4,291.225,9.286,8.565,1.071,108.807,0,2,13,43,,,,,,,,,,
5222,F,8,10,101.402,1218515.882,0.856,38.0,3268343.299,314.45,286291.245,0.954,49462.749,72.0,280746.166,0.925,1295.0,54.09,1.047,20.62,16.186,17.749,215.373,1303.537,9840.176,19576801.259,1989.477,0.33,154.402,3,275.067,16.186,17.749,1.015,104.292,0,1,13,43,,,,,,,,,,
5223,F,8,1,92.951,1314059.445,0.822,30.0,4345670.239,264.383,208897.168,1.126,20116.663,34.0,285938.558,0.96,1593.0,48.674,0.92,16.885,18.873,12.109,180.938,1580.309,9941.646,17311983.922,1741.36,0.391,131.109,3,236.684,18.873,12.109,1.195,94.591,0,1,14,43,,,,,,,,,,
5224,F,8,2,169.848,1877730.907,0.817,40.0,8072114.345,518.627,498239.12,1.131,24102.698,39.0,571752.582,0.78,2265.5,62.61,1.172,25.596,10.977,9.854,243.364,2349.375,24345.655,26196363.11,1076.018,0.215,131.666,3,251.023,10.977,9.854,1.363,112.802,0,1,14,43,,,,,,,,,,
5225,F,8,3,147.666,2065110.061,0.799,54.0,5675855.286,279.594,215237.404,1.178,33911.667,60.0,265849.015,0.934,1512.0,48.5,0.983,17.733,12.902,11.495,174.918,1519.853,9920.414,12511441.775,1261.181,0.317,153.143,6,223.433,12.902,11.495,0.933,88.957,0,0,14,43,,,,,,,,,,
5226,F,8,4,201.113,2982843.157,0.785,66.0,9073299.516,799.804,744372.511,1.152,44331.179,77.0,536009.391,0.734,2551.5,59.002,1.062,23.12,15.657,11.686,203.437,2634.771,20716.57,43232673.371,2086.864,0.224,215.508,6,342.1,15.657,11.686,1.058,111.399,0,2,14,43,,,,,,,,,,
5227,F,8,5,198.789,2115813.469,0.797,50.0,8857794.561,473.313,459916.844,1.138,22290.754,37.0,300833.174,0.749,1602.5,54.974,1.134,22.645,12.395,8.258,180.199,1669.45,15290.21,27840278.231,1820.791,0.198,177.316,3,340.122,12.395,8.258,1.009,142.479,0,1,14,43,,,,,,,,,,
5228,F,8,6,59.89,526035.482,0.863,17.0,2011251.954,70.136,43733.737,1.274,29988.661,55.0,258959.099,0.889,1262.5,54.375,1.036,20.218,19.175,19.825,209.141,1238.206,8013.854,12730999.201,1588.624,0.459,150.211,5,208.617,19.175,19.825,0.708,71.742,0,3,14,43,,,,,,,,,,
5229,F,8,7,109.746,1560784.299,0.826,44.0,4048045.367,155.694,111964.813,1.06,39762.535,68.0,502706.174,0.95,2136.0,55.508,0.982,20.205,17.712,18.561,232.907,2158.402,11713.725,15983192.829,1364.484,0.515,83.041,2,182.539,17.712,18.561,0.916,77.264,0,0,14,43,,,,,,,,,,
