,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT
8,B,3,1,,,,,,,,,,,550892.493,0.749,2927.0,55.903,1.178,20.95,13.602,12.481,186.22,2958.294,15417.634,45445255.088,2947.615,0.178,232.441,2,456.098,13.602,12.481,1.047,216.215,0,0,2,1,416.486,1870522.02,0.773,123.0,6339735.692,1014.438,2927716.155,1.065,174625.109,93.0
9,B,3,2,,,,,,,,,,,270898.494,0.785,2885.5,38.542,1.059,13.157,27.12,26.785,92.74,2921.049,14439.321,46844258.917,3244.215,0.33,261.436,10,351.654,27.12,26.785,1.148,103.91,0,4,2,1,267.763,1828138.327,0.859,125.0,3820685.095,1042.323,3253310.101,1.073,174739.105,94.0
10,B,3,3,,,,,,,,,,,494125.492,0.787,3143.5,49.365,1.117,19.759,9.243,8.722,152.525,3239.641,19011.07,34573016.326,1818.573,0.124,224.945,4,428.468,9.243,8.722,1.59,186.38,0,2,2,1,126.541,524539.062,0.862,38.0,1730957.025,943.668,3058791.88,1.338,45769.618,26.0
11,B,3,1,,,,,,,,,,,634529.102,0.794,2833.5,59.799,1.082,21.625,17.161,19.122,226.041,2807.143,21320.758,24184645.025,1134.324,0.476,106.063,4,173.034,17.161,19.122,0.818,68.514,0,0,3,1,128.019,789736.255,0.881,59.0,1796867.063,594.466,2402429.447,0.979,23802.79,13.0
12,B,3,1,,,,,,,,,,,421925.603,0.665,2417.5,57.337,1.493,23.676,15.17,14.708,173.861,2426.793,12994.167,20607157.007,1585.878,0.35,128.226,3,238.477,15.17,14.708,1.131,106.563,0,1,4,1,17.957,78169.955,0.95,7.0,204648.444,557.497,1181345.571,1.242,145311.828,87.0
13,B,3,2,,,,,,,,,,,694072.392,0.838,2891.0,60.03,1.03,20.508,16.096,16.081,240.195,2889.622,11517.257,17494896.316,1519.016,0.404,119.006,3,217.413,16.096,16.081,0.982,81.942,0,1,4,1,26.935,136246.144,0.839,12.0,297881.861,533.414,1494122.048,1.32,17386.525,10.0
14,B,3,3,,,,,,,,,,,366688.075,0.884,2667.0,43.727,1.032,16.285,26.252,27.328,134.463,2727.063,15516.33,22717305.548,1464.09,0.505,131.643,5,190.857,26.252,27.328,0.839,63.734,0,3,4,1,1.584,11830.467,0.801,1.0,18744.177,676.116,1506790.161,1.346,129457.405,79.0
15,B,3,4,,,,,,,,,,,398686.698,0.833,2393.0,50.268,1.118,19.651,25.641,25.641,167.418,2381.383,17606.639,26592267.181,1510.355,0.661,89.747,3,169.418,25.641,25.641,0.929,63.811,0,1,4,1,2.746,14804.346,0.913,1.0,40657.045,889.059,2492644.69,1.406,62702.398,38.0
16,B,3,1,,,,,,,,,,,216407.112,0.552,2334.0,45.972,1.536,15.504,17.86,16.575,92.846,2330.824,8135.947,22648756.219,2783.789,0.279,222.45,5,353.841,17.86,16.575,0.737,147.161,0,3,5,1,12.147,54796.548,0.888,5.0,132963.695,702.628,1026598.083,1.253,132393.674,118.0
17,B,3,2,,,,,,,,,,,389848.71,0.565,2967.0,53.837,1.546,19.785,17.882,14.731,130.238,2993.366,11990.488,21145721.822,1763.541,0.358,171.749,7,248.925,17.882,14.731,1.118,84.48,0,3,5,1,311.81,1895961.118,0.841,147.0,3995633.139,1146.999,2292702.227,1.151,57219.119,47.0
18,B,3,3,,,,,,,,,,,902140.18,0.733,3838.0,62.596,1.095,22.315,30.585,35.159,228.47,3948.61,17497.646,43728804.712,2499.125,0.441,214.656,7,266.849,30.585,35.159,0.986,95.584,0,1,5,1,420.288,2920901.794,0.858,198.0,6468042.205,1300.791,3109657.102,1.097,59940.628,42.0
19,B,3,1,,,,,,,,,,,444897.695,0.854,2385.0,52.431,1.083,20.107,11.418,6.01,186.853,2380.998,8964.174,18072622.293,2016.095,0.181,227.053,5,374.307,11.418,6.01,0.801,160.069,0,1,6,1,33.589,178326.606,0.9,16.0,372896.7,248.539,500927.95,1.208,166078.289,97.0
20,B,3,2,,,,,,,,,,,413826.473,0.881,2716.0,46.816,1.007,16.9,16.022,17.46,153.687,2692.663,13964.102,16289683.362,1166.54,0.489,80.434,2,173.101,16.022,17.46,1.001,71.9,0,0,6,1,107.95,392369.802,0.788,28.0,1523973.388,446.484,1142173.318,1.052,30278.158,17.0
21,B,3,3,,,,,,,,,,,536967.952,0.553,2871.5,64.709,1.165,19.891,11.05,9.842,184.424,2911.595,9104.577,16770830.305,1842.022,0.192,186.278,3,347.151,11.05,9.842,0.889,153.893,0,1,6,1,89.36,571764.101,0.884,43.0,1224022.513,713.508,2025993.412,1.185,84910.364,48.0
22,B,3,4,,,,,,,,,,,506952.785,0.579,2736.0,63.098,1.345,21.904,14.84,14.983,183.473,2763.086,14076.21,20232673.48,1437.367,0.372,129.518,4,220.373,14.84,14.983,0.921,91.426,0,2,6,1,160.13,851233.209,0.898,81.0,1700108.57,792.516,2338493.147,0.987,60039.07,32.0
23,B,3,1,,,,,,,,,,,623931.058,0.787,3254.0,54.689,1.193,22.311,16.081,13.553,187.276,3331.614,19515.956,36798118.384,1885.54,0.351,124.16,2,259.909,16.081,13.553,1.632,118.529,0,0,7,1,442.892,2537262.144,0.827,168.0,7128285.888,1134.958,3012183.622,0.849,58623.193,33.0
24,B,3,2,,,,,,,,,,,697212.459,0.66,3604.0,59.296,1.311,23.974,23.023,20.448,184.53,3778.322,18007.375,35927964.681,1995.181,0.537,132.933,4,216.073,23.023,20.448,0.928,88.83,0,2,7,1,66.967,594039.675,0.874,35.0,1220075.987,774.771,2043362.013,1.319,107660.618,74.0
25,B,3,3,,,,,,,,,,,496114.547,0.591,2670.0,62.654,1.5,22.851,26.653,12.884,184.53,2688.536,17897.711,34134399.188,1907.194,0.382,167.488,5,250.626,26.653,12.884,0.828,93.292,0,3,7,1,419.232,1786328.955,0.754,134.0,5941906.682,745.196,1809261.181,0.779,99918.514,54.0
26,B,3,4,,,,,,,,,,,434380.667,0.7,2471.0,56.068,1.257,20.453,17.316,15.405,175.023,2481.846,16694.184,25233534.014,1511.516,0.462,103.331,3,202.715,17.316,15.405,1.003,84.646,0,1,7,1,65.383,382722.314,0.842,32.0,887363.337,712.874,2169716.019,1.113,56219.806,36.0
27,B,3,1,,,,,,,,,,,236971.763,0.708,2850.0,38.244,1.188,13.555,13.645,8.376,82.389,2876.264,16274.183,38873157.81,2388.64,0.173,258.178,5,416.137,13.645,8.376,0.909,126.29,0,3,8,1,91.895,489070.974,0.848,34.0,1388666.262,1064.293,2481307.472,1.285,153813.972,120.0
28,B,3,2,,,,,,,,,,,412059.763,0.467,2854.0,61.776,1.602,19.05,18.442,13.0,141.857,2904.765,17284.655,32826428.256,1899.166,0.375,137.619,3,252.297,18.442,13.0,0.832,83.969,0,1,8,1,3.063,34330.98,0.897,2.0,51003.381,1455.746,3691044.624,1.317,118507.02,94.0
