,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
3723,E,3,1,,,,,,,,,,,504092.945,0.896,1497.0,68.585,1.076,26.278,19.548,24.05,335.47,1502.647,12215.504,30304852.867,2480.852,0.316,168.978,3,314.117,19.548,24.05,0.849,124.568,0,1,11,74.572,45444.209,0.96,55.0,62382.216,184.53,460462.617,1.026,237019.503,113.0,38
3724,E,3,2,,,,,,,,,,,441130.523,0.876,2218.0,54.119,1.022,20.763,13.421,9.802,204.282,2159.421,10608.498,13177543.931,1242.169,0.351,102.547,2,210.985,13.421,9.802,1.039,94.347,0,0,11,17.428,9963.461,0.975,12.0,14811.382,87.564,196255.567,1.117,29118.758,16.0,38
3725,E,3,3,,,,,,,,,,,442644.152,0.877,1392.0,67.083,0.957,23.352,42.293,35.493,314.239,1408.622,8671.249,28226649.503,3255.2,0.487,196.023,5,289.893,42.293,35.493,1.042,92.073,0,3,11,8.978,3468.401,0.946,5.0,6078.282,432.33,1296785.182,1.085,81245.137,43.0,38
3726,E,3,4,,,,,,,,,,,527121.231,0.959,1788.0,62.136,0.978,21.585,21.775,20.684,294.698,1788.682,11391.351,28863068.686,2533.771,0.376,178.073,4,290.922,21.775,20.684,0.742,103.069,0,0,11,39.61,19817.062,0.952,24.0,34799.946,342.125,856627.057,1.06,108917.929,52.0,38
3727,E,3,5,,,,,,,,,,,319446.479,0.899,1560.0,53.574,0.965,19.679,22.981,26.075,205.338,1555.71,12695.237,20237685.778,1594.116,0.624,136.391,5,179.233,22.981,26.075,0.942,62.43,0,1,11,15.844,11453.939,1.052,12.0,15355.887,372.228,887546.177,1.193,57910.59,32.0,38
3728,E,3,6,,,,,,,,,,,315845.88,0.882,1233.0,60.828,1.049,23.15,26.44,28.419,259.63,1216.522,10104.496,24468998.234,2421.595,0.387,192.687,5,280.252,26.44,28.419,0.789,87.873,0,1,11,13.731,10689.477,1.061,12.0,11773.033,242.836,548291.016,1.189,117179.297,64.0,38
3729,E,3,7,,,,,,,,,,,315280.884,0.944,1437.5,54.598,0.963,19.603,25.225,26.428,223.928,1407.954,10862.93,24187490.711,2226.608,0.411,190.28,6,261.048,25.225,26.428,1.002,107.794,0,2,11,22.921,8838.691,0.887,11.0,18420.326,204.704,430272.638,1.156,150276.922,82.0,38
3730,E,3,8,,,,,,,,,,,278160.111,0.895,1437.0,51.744,0.97,18.245,15.405,13.908,190.762,1458.156,10306.178,14565553.195,1413.284,0.315,129.467,4,237.631,15.405,13.908,0.886,89.123,0,2,11,163.51,107085.013,0.901,74.0,315834.05,247.061,1293866.297,0.972,151193.817,48.0,38
3731,E,3,9,,,,,,,,,,,501742.859,0.391,1851.0,92.565,1.344,23.292,28.243,29.98,266.813,1880.506,9512.674,27859846.612,2928.708,0.333,207.819,5,332.561,28.243,29.98,1.007,135.801,0,3,11,134.568,61611.198,0.951,78.0,108974.841,366.63,1039645.184,0.965,295025.927,125.0,38
3732,E,3,10,,,,,,,,,,,261833.409,0.888,1282.0,53.599,1.093,20.435,16.786,13.325,203.12,1289.058,12956.457,17477704.111,1348.957,0.479,93.554,3,188.067,16.786,13.325,1.088,75.783,0,1,11,187.065,65101.627,0.862,86.0,146491.82,224.562,882766.996,0.997,201962.2,75.0,38
3733,E,3,11,,,,,,,,,,,269484.048,0.966,1811.0,43.153,0.882,15.289,14.226,15.348,143.124,1882.871,14648.13,15710592.585,1072.532,0.44,96.555,3,175.002,14.226,15.348,0.949,73.496,0,1,11,38.026,13438.748,0.871,17.0,31707.727,221.393,663135.527,0.971,60577.682,26.0,38
3734,E,3,12,,,,,,,,,,,300272.191,0.873,940.0,68.167,1.072,24.597,35.876,39.975,322.795,930.226,9223.853,37943495.145,4113.627,0.397,218.336,6,360.821,35.876,39.975,0.774,147.77,0,4,11,398.001,107088.52,0.877,93.0,538310.783,948.421,2801363.417,0.978,162596.639,78.0,38
3735,E,3,13,,,,,,,,,,,498644.726,0.914,2446.0,52.416,1.006,18.946,18.608,19.326,199.845,2495.151,16540.593,17057194.221,1031.232,0.533,107.22,5,155.861,18.608,19.326,0.894,57.329,0,1,11,88.621,50481.169,0.941,59.0,74750.666,282.551,865690.03,1.005,115941.074,51.0,38
3736,E,3,1,,,,,,,,,,,523060.522,0.958,1605.0,64.641,0.982,22.964,24.748,25.766,318.57,1641.903,10216.191,20892481.452,2045.036,0.431,191.084,7,244.11,24.748,25.766,0.609,86.002,0,5,12,105.204,56792.534,0.926,67.0,89409.629,160.13,443878.609,0.957,165901.88,71.0,38
3737,E,3,2,,,,,,,,,,,270963.983,0.912,1811.5,44.457,0.915,16.614,18.442,20.077,143.441,1889.029,13162.021,14341915.52,1089.644,0.562,99.145,4,156.07,18.442,20.077,0.709,57.394,0,2,12,131.505,57091.818,0.872,58.0,133278.674,255.616,1012718.116,0.979,101475.295,34.0,38
3738,E,3,3,,,,,,,,,,,341689.114,0.879,1470.0,58.301,1.068,22.315,17.078,13.153,237.871,1436.447,8954.231,17983533.663,2008.384,0.318,194.768,6,281.926,17.078,13.153,0.794,116.726,0,2,12,11.936,4965.205,0.962,6.0,10053.644,46.687,97570.973,1.099,80728.858,42.0,38
3739,E,3,4,,,,,,,,,,,524622.739,0.878,2006.0,59.022,1.029,22.647,22.564,25.807,243.364,2155.715,12965.389,20187648.564,1557.041,0.566,102.243,3,186.011,22.564,25.807,1.333,73.987,0,1,12,20.28,8726.818,0.892,9.0,18393.919,205.338,537795.325,1.113,70142.877,36.0,38
3740,E,3,5,,,,,,,,,,,279487.203,0.742,1396.0,57.838,1.264,23.115,18.111,16.351,197.416,1415.727,13012.684,24270661.823,1865.154,0.417,133.149,3,237.208,18.111,16.351,0.964,104.499,0,1,12,90.628,47996.816,0.937,44.0,101555.525,378.671,1302698.897,0.956,87713.073,37.0,38
3741,E,3,6,,,,,,,,,,,351442.145,0.946,1004.0,68.282,0.997,24.068,38.727,42.528,350.892,1001.569,9410.802,28614172.738,3040.567,0.455,265.349,8,289.687,38.727,42.528,0.837,79.867,0,6,12,66.228,28888.801,0.887,32.0,60119.166,209.563,556106.327,0.964,222908.786,102.0,38
3742,E,3,7,,,,,,,,,,,551265.355,0.922,2401.0,56.037,0.991,20.358,13.991,12.43,230.372,2392.94,11945.837,15781306.626,1321.072,0.342,154.309,6,220.235,13.991,12.43,1.052,93.177,0,0,12,41.828,29125.988,1.005,33.0,36219.25,228.787,665536.631,1.054,53979.031,25.0,38
3743,E,3,8,,,,,,,,,,,250535.801,0.362,1187.0,85.173,1.372,19.306,21.574,22.466,209.246,1197.325,8448.936,15587221.474,1844.874,0.427,172.501,6,233.013,21.574,22.466,0.88,73.803,0,4,12,111.014,53149.273,0.94,62.0,99319.832,130.026,439303.394,1.034,156818.924,65.0,38
3744,E,3,9,,,,,,,,,,,401934.293,0.885,1931.0,53.945,0.98,19.671,18.248,18.466,205.021,1960.452,13045.78,19951788.837,1529.367,0.341,148.929,6,237.456,18.248,18.466,1.026,86.649,0,2,12,80.171,44359.304,0.957,47.0,78149.413,214.844,632263.2,0.996,99965.0,44.0,38
3745,E,3,10,,,,,,,,,,,312564.168,0.877,1391.5,56.736,1.076,21.544,20.287,22.311,224.562,1391.883,12418.852,19801030.865,1594.433,0.48,107.505,3,204.244,20.287,22.311,1.027,76.059,0,1,12,89.149,48015.785,0.923,49.0,92351.118,259.947,861788.923,1.103,96771.678,39.0,38
3746,E,3,11,,,,,,,,,,,344829.181,0.895,1199.0,63.705,1.046,22.982,24.755,22.09,288.889,1193.64,10273.211,30376966.883,2956.911,0.325,216.887,6,338.011,24.755,22.09,0.863,118.495,0,4,12,151.891,67484.45,0.916,78.0,134135.939,404.867,1166607.705,0.939,289552.924,122.0,38
3747,E,3,12,,,,,,,,,,,684320.1,0.875,1940.0,70.809,1.051,26.99,18.923,15.956,349.096,1960.264,10613.555,27057110.766,2549.298,0.243,237.444,6,362.942,18.923,15.956,0.756,120.777,0,2,12,121.365,51974.16,0.938,65.0,98566.82,359.13,1051090.458,1.027,141903.329,63.0,38
3748,E,3,13,,,,,,,,,,,551204.937,0.882,2050.0,60.661,0.973,20.977,25.025,27.332,258.257,2134.327,10796.583,19476996.706,1803.996,0.479,179.921,7,217.448,25.025,27.332,1.027,77.683,1,1,12,148.405,77517.503,0.966,98.0,119603.728,336.209,1554535.067,0.938,196636.352,69.0,38
3749,E,3,14,,,,,,,,,,,325007.824,0.872,1423.0,55.892,1.054,21.502,14.61,14.646,216.746,1499.489,12448.59,17853740.244,1434.198,0.251,143.315,4,267.991,14.61,14.646,1.229,107.213,0,2,12,209.986,70956.042,0.866,89.0,168469.226,244.526,662639.927,0.968,197350.286,83.0,38
3750,E,3,15,,,,,,,,,,,101677.84,0.856,1258.5,34.232,1.077,12.587,19.545,21.778,79.854,1273.302,12824.498,23055427.441,1797.764,0.344,183.241,7,256.339,19.545,21.778,0.776,86.279,0,3,12,220.971,79782.641,0.856,83.0,224329.846,441.202,2146912.085,1.024,131026.771,47.0,38
3751,E,3,1,,,,,,,,,,,368819.725,0.901,1573.5,57.42,0.955,20.698,16.415,14.424,236.392,1560.202,11427.784,13801727.542,1207.734,0.423,90.035,2,189.379,16.415,14.424,1.045,81.681,0,0,13,44.786,27434.37,0.912,30.0,40675.847,30.104,85539.26,0.972,108734.084,40.0,38
3752,E,3,2,,,,,,,,,,,320920.181,0.897,1559.5,54.57,0.995,20.424,15.893,16.313,212.521,1510.066,9974.086,17538091.78,1758.366,0.283,158.191,4,279.245,15.893,16.313,0.943,101.964,0,2,13,81.332,43406.802,0.961,46.0,76921.081,173.861,720264.51,0.927,165994.538,51.0,38
3753,E,3,3,,,,,,,,,,,529269.992,0.807,2145.0,61.741,1.002,22.701,20.044,14.991,244.842,2161.676,11230.96,21182356.924,1886.068,0.446,143.695,4,230.588,20.044,14.991,0.997,88.491,0,2,13,105.732,54951.54,0.937,61.0,96162.654,68.552,216565.552,1.03,207215.405,72.0,38
3754,E,3,4,,,,,,,,,,,291657.181,0.904,1656.0,48.486,0.902,17.229,14.248,14.708,169.108,1724.678,10435.813,11211486.0,1074.328,0.425,114.387,5,178.273,14.248,14.708,0.949,71.179,0,3,13,50.278,25273.084,0.946,30.0,43521.85,52.074,188538.383,0.938,69477.381,24.0,38
3755,E,3,5,,,,,,,,,,,458854.452,0.793,2388.0,53.638,1.026,21.009,11.707,8.375,181.572,2527.12,10439.431,11888008.429,1138.76,0.292,139.986,5,221.52,11.707,8.375,0.85,94.107,0,1,13,106.894,48461.034,0.947,56.0,93065.26,127.808,623683.47,0.989,181202.41,51.0,38
