,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,CHRONO_ORDER
623,B,10,2,,,,,,,,,,,498307.46,0.857,2676.0,51.919,0.999,18.026,26.533,27.903,183.79,2711.283,9856.802,16731124.638,1697.419,0.582,105.563,3,191.397,26.533,27.903,1.018,69.591,0,1,19,69.502,364942.803,0.868,32.0,787414.71,827.162,1501126.569,1.228,54737.363,53.0,8
624,B,10,1,,,,,,,,,,,459179.36,0.87,2767.5,48.854,0.991,16.983,14.64,15.246,165.2,2779.536,9848.198,18411058.002,1869.485,0.288,154.159,3,285.434,14.64,15.246,0.872,117.87,0,1,20,227.308,1099792.262,0.859,102.0,2607532.719,689.953,1668133.924,0.912,57846.615,40.0,8
625,B,10,2,,,,,,,,,,,506063.409,0.831,3156.0,49.306,1.149,19.198,11.7,9.574,160.764,3147.872,13493.967,20764086.107,1538.768,0.246,139.053,2,280.306,11.7,9.574,1.003,131.591,0,0,20,29.575,214142.503,0.84,14.0,428103.068,773.187,1930365.44,1.294,26794.606,21.0,8
626,B,10,3,,,,,,,,,,,220425.57,0.701,2561.0,39.227,1.342,15.981,24.597,22.722,85.874,2566.836,10393.398,33419809.888,3215.484,0.293,250.761,8,371.331,24.597,22.722,1.018,97.628,0,4,20,222.555,1209831.405,0.89,111.0,2502131.225,1219.565,2409082.232,1.125,138722.713,108.0,8
627,B,10,4,,,,,,,,,,,748984.484,0.882,2875.0,61.103,0.981,20.892,26.541,14.526,261.954,2859.222,9264.626,35219484.4,3801.501,0.251,335.772,10,436.302,26.541,14.526,0.641,127.864,1,3,20,1.479,16360.929,0.814,1.0,24194.086,1245.232,2444098.184,1.344,138804.137,114.0,8
628,C,2,1,,,,,,,,,,,413993.152,0.85,2992.0,45.721,1.125,17.994,14.682,14.983,141.434,2927.112,13714.052,15060766.43,1098.2,0.432,93.801,3,178.699,14.682,14.983,0.943,76.846,0,1,1,229.843,1320458.424,0.804,81.0,3815173.394,705.163,1737827.295,0.971,13438.454,11.0,19
629,C,2,2,,,,,,,,,,,802341.436,0.765,3236.0,63.499,1.174,23.482,19.071,17.994,245.582,3267.105,9408.49,17969650.104,1909.94,0.378,163.478,5,251.937,19.071,17.994,0.902,96.912,0,1,1,78.058,633920.47,0.947,47.0,1076880.351,1158.195,1848388.119,1.275,40896.847,39.0,19
630,C,2,3,,,,,,,,,,,202917.541,0.673,2588.0,38.183,1.216,13.627,21.655,18.628,78.058,2599.572,8640.663,17463290.518,2021.059,0.422,167.411,6,245.235,21.655,18.628,0.698,79.541,0,2,1,86.297,520068.442,0.892,38.0,1247411.936,889.904,1702904.611,1.215,42689.288,40.0,19
631,C,2,4,,,,,,,,,,,346422.664,0.544,2539.5,55.936,1.355,19.28,19.459,21.813,135.413,2558.262,9067.164,22256771.211,2454.656,0.346,158.995,3,298.745,19.459,21.813,0.925,123.426,0,1,1,42.356,290501.183,0.883,20.0,594953.039,1078.025,1598104.66,1.289,98499.455,96.0,19
632,C,2,5,,,,,,,,,,,347710.146,0.584,2614.0,53.132,1.449,19.458,16.344,13.107,131.294,2648.335,12297.098,28171852.966,2290.935,0.378,184.416,5,275.935,16.344,13.107,1.18,86.646,0,1,1,45.948,454389.721,0.901,25.0,852231.935,1059.223,2089965.307,1.414,86235.917,86.0,19
