,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
72,B,3,1,256.144,478210.594,0.659,38.0,3818867.156,3.697,415.218,1.401,2219.0,20.0,226393.578,0.88,819.0,63.023,1.055,22.722,16.049,9.192,278.115,814.029,2447.061,3334582.575,1362.689,0.369,149.369,6,215.526,16.049,9.192,0.923,57.573,0,2,8,,,,,,,,,,,1
73,B,3,2,477.221,820083.658,0.605,49.0,9120623.712,1.162,129.076,1.571,1222.0,11.0,372335.823,0.862,1159.0,68.825,1.061,24.732,9.699,8.237,324.907,1145.975,3047.001,7250187.416,2379.45,0.112,278.639,4,517.112,9.699,8.237,0.881,210.326,0,2,8,,,,,,,,,,,1
74,B,3,3,517.253,945878.741,0.644,61.0,8609099.409,0.423,45.525,1.407,321.0,3.0,251686.392,0.6,1083.0,69.493,1.249,22.673,11.871,11.375,230.688,1091.023,2843.95,5937942.516,2087.921,0.182,196.224,3,380.079,11.871,11.375,1.026,173.961,0,1,8,,,,,,,,,,,1
75,B,3,4,378.883,829872.825,0.874,50.0,7187245.802,1.268,141.54,1.526,1231.5,11.0,299655.649,0.836,1283.0,58.958,1.047,22.9,18.995,13.735,231.111,1296.588,2991.586,5197736.129,1737.452,0.427,129.995,4,225.996,18.995,13.735,1.075,66.707,0,2,8,,,,,,,,,,,1
76,B,3,5,362.194,487626.404,0.786,26.0,6881259.741,0.528,57.25,1.571,542.0,5.0,244060.997,0.882,1177.0,54.447,1.122,21.321,12.884,13.271,207.979,1173.49,2654.944,4576661.32,1723.826,0.251,154.743,3,293.872,12.884,13.271,0.982,119.625,0,1,8,,,,,,,,,,,1
77,B,3,6,508.064,1074723.209,0.711,73.0,8177190.721,1.584,178.192,1.439,1130.167,10.0,263216.589,0.775,937.0,67.585,1.08,24.681,16.2,11.28,281.812,934.016,2834.052,6631827.315,2340.051,0.256,273.47,9,338.893,16.2,11.28,0.679,109.432,0,5,8,,,,,,,,,,,1
78,B,3,7,273.362,604227.741,0.647,43.0,4441272.544,2.324,258.468,1.361,1436.8,13.0,225687.781,0.862,1031.5,56.479,1.113,21.945,18.483,19.397,218.858,1031.205,2656.79,3511493.69,1321.705,0.47,113.526,4,188.078,18.483,19.397,1.505,76.535,0,2,8,,,,,,,,,,,1
79,B,3,8,422.612,1937042.593,0.859,141.0,6648444.489,1.162,128.548,1.522,1099.5,10.0,416102.937,0.917,1574.0,60.07,1.035,22.444,16.401,16.571,263.327,1580.175,2698.531,6408192.281,2374.697,0.264,159.256,2,336.367,16.401,16.571,1.539,152.655,0,0,8,,,,,,,,,,,1
80,B,3,9,290.896,761429.131,0.755,47.0,5433619.516,0.106,11.619,1.571,110.0,1.0,387212.482,0.846,1579.0,60.033,1.137,23.67,15.634,16.101,242.519,1596.63,2964.193,4074338.465,1374.519,0.38,114.773,3,213.199,15.634,16.101,0.866,81.751,0,1,8,,,,,,,,,,,1
81,B,3,10,214.211,465555.157,0.79,37.0,3255693.565,1.479,162.559,1.571,1539.0,14.0,250537.914,0.832,1314.0,52.837,0.989,18.678,13.325,14.362,184.741,1356.158,2976.402,5636962.099,1893.885,0.247,165.331,3,310.46,13.325,14.362,0.947,141.905,0,1,8,,,,,,,,,,,1
