,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
4727,F,2,5,38.765,183819.907,1.038,13.0,592064.468,1.373,157.912,1.381,708.85,6.0,306659.747,0.792,1168.0,65.405,1.151,25.635,17.468,16.79,269.665,1137.189,2497.062,3691531.457,1478.35,0.439,108.327,3,205.761,17.468,16.79,1.58,85.091,0,1,12,,,,,,,,,,,49
4728,F,2,6,370.749,859514.961,0.678,60.0,6195496.993,2.218,252.764,1.539,2150.333,19.0,262334.502,0.785,1224.0,58.475,1.153,21.9,18.949,15.651,213.471,1228.898,2557.044,4787108.029,1872.126,0.397,134.092,3,243.369,18.949,15.651,0.981,100.952,0,1,12,,,,,,,,,,,49
4729,F,2,7,189.388,651776.064,0.777,44.0,3043061.336,0.317,35.174,1.571,333.0,3.0,356122.036,0.809,1647.0,58.529,1.18,23.673,12.003,12.025,220.654,1613.939,2639.17,4442702.2,1683.371,0.229,151.3,2,303.762,12.003,12.025,1.012,138.556,0,0,12,,,,,,,,,,,49
4730,F,2,8,214.422,661011.653,0.805,41.0,3489043.815,0.528,58.2,1.571,551.0,5.0,337038.059,0.715,1460.0,64.27,1.316,26.742,13.703,12.562,235.019,1434.088,2737.649,4782268.114,1746.852,0.265,146.731,3,287.892,13.703,12.562,1.282,129.29,0,1,12,,,,,,,,,,,49
4731,F,2,9,57.672,156598.833,0.849,12.0,796271.816,1.268,142.596,1.407,1005.0,9.0,212236.235,0.787,1067.0,57.23,1.189,23.069,11.127,11.118,205.127,1034.659,2665.325,4150303.52,1557.147,0.204,159.742,3,309.486,11.127,11.118,1.352,142.107,0,1,12,,,,,,,,,,,49
4732,F,2,10,370.644,542072.763,0.656,39.0,5697197.455,2.641,304.099,1.334,1467.738,13.0,340996.943,0.85,1241.0,63.543,1.151,24.17,15.159,13.795,273.15,1248.386,2506.168,4457850.953,1778.752,0.328,141.758,3,261.09,15.159,13.795,0.885,116.734,0,1,12,,,,,,,,,,,49
4733,F,2,11,276.636,412182.028,0.758,28.0,4605208.383,1.268,142.279,1.449,1013.333,9.0,249000.307,0.815,1140.0,57.89,1.179,21.846,17.706,17.046,217.274,1146.02,3015.886,4735997.649,1570.35,0.458,96.276,2,207.657,17.706,17.046,1.57,91.416,0,0,12,,,,,,,,,,,49
4734,F,2,12,224.879,778194.696,0.667,43.0,4767757.134,3.908,437.4,1.392,2561.667,23.0,319857.05,0.865,1479.0,55.571,1.069,20.949,13.421,14.226,212.521,1505.063,2775.207,3148569.935,1134.535,0.41,90.492,2,186.521,13.421,14.226,1.24,82.036,0,0,12,,,,,,,,,,,49
4735,F,2,13,81.861,173346.011,0.871,14.0,1127261.802,0.211,23.132,1.571,219.0,2.0,190890.159,0.894,1128.0,49.288,0.987,18.466,9.084,6.927,172.805,1104.656,2745.349,2757146.861,1004.298,0.201,129.294,3,250.402,9.084,6.927,1.06,112.89,0,1,12,,,,,,,,,,,49
4736,F,2,14,477.96,475951.596,0.768,41.0,6696646.442,4.859,556.441,1.451,3708.667,33.0,259189.576,0.827,992.0,62.807,1.115,23.292,22.3,16.011,259.736,997.897,2162.116,4249181.305,1965.288,0.33,174.489,7,273.738,22.3,16.011,0.842,81.67,0,5,12,,,,,,,,,,,49
4737,F,2,1,167.313,314476.404,0.852,22.0,2942561.443,2.324,263.327,1.456,1584.357,14.0,178158.987,0.792,890.5,57.053,1.18,23.042,12.884,12.081,205.127,868.531,2473.958,3127949.513,1264.35,0.325,129.118,4,221.168,12.884,12.081,0.904,96.66,0,0,13,,,,,,,,,,,49
4738,F,2,2,23.872,110964.933,0.835,11.0,259629.299,7.394,843.428,1.422,3779.923,34.0,234164.314,0.807,834.5,66.557,1.176,25.766,17.339,17.383,284.347,823.517,2128.335,3852323.743,1810.017,0.385,118.359,3,243.02,17.339,17.383,1.028,103.294,0,1,13,,,,,,,,,,,49
4739,F,2,3,113.971,353183.398,0.68,22.0,1838931.16,0.845,104.359,1.409,475.2,4.0,193420.338,0.655,1126.0,57.955,1.481,24.597,11.7,11.819,175.129,1104.446,2476.213,2550151.077,1029.859,0.328,102.479,3,198.513,11.7,11.819,1.055,87.257,0,1,13,,,,,,,,,,,49
4740,F,2,4,326.175,972866.689,0.742,52.0,6032581.401,2.958,340.751,1.462,1931.4,17.0,379864.357,0.829,1405.5,63.884,1.152,25.339,14.033,14.251,269.137,1411.419,2396.493,3169735.707,1322.656,0.38,114.355,3,209.203,14.033,14.251,1.122,81.817,0,1,13,,,,,,,,,,,49
4741,F,2,5,108.901,208542.127,0.789,15.0,1718125.93,2.535,288.889,1.137,1241.167,11.0,234958.204,0.792,970.0,62.61,1.159,25.403,17.059,19.266,247.166,950.608,2378.803,2576721.022,1083.201,0.561,72.408,2,155.818,17.059,19.266,0.999,66.331,0,0,13,,,,,,,,,,,49
4742,F,2,6,160.764,350959.43,0.735,25.0,2443006.111,2.429,265.44,1.508,1963.0,18.0,262402.525,0.842,1124.5,59.199,1.058,22.3,12.745,10.62,234.702,1118.023,2581.782,5146485.266,1993.385,0.216,184.948,3,340.617,12.745,10.62,1.118,154.624,0,1,13,,,,,,,,,,,49
4743,F,2,7,243.786,699081.511,0.743,47.0,4106944.335,1.584,183.368,1.495,1150.167,10.0,317713.464,0.905,1303.0,58.368,1.032,22.3,14.685,14.64,245.476,1294.274,2679.655,3824474.871,1427.226,0.365,106.849,2,221.777,14.685,14.64,1.005,98.481,0,0,13,,,,,,,,,,,49
4744,F,2,8,253.821,861648.731,0.813,56.0,4364966.104,1.056,116.4,1.516,991.5,9.0,401904.717,0.911,1468.0,61.34,1.019,22.787,26.053,24.938,272.728,1473.648,2694.684,4799435.814,1781.075,0.504,116.798,4,210.644,26.053,24.938,0.811,76.704,0,2,13,,,,,,,,,,,49
4745,F,2,9,277.904,771609.09,0.701,42.0,6418067.311,1.69,191.501,1.242,786.167,7.0,388118.547,0.815,1777.0,58.205,1.189,22.9,14.76,14.316,219.598,1767.407,2740.656,2942047.147,1073.483,0.464,93.185,3,170.462,14.76,14.316,0.895,69.124,0,1,13,,,,,,,,,,,49
4746,F,2,10,530.457,858745.457,0.851,55.0,9716052.387,2.007,223.506,1.402,1436.667,13.0,408843.645,0.901,1529.0,60.915,1.114,23.612,18.897,12.402,266.073,1536.582,2724.533,5534068.919,2031.199,0.288,157.114,3,297.781,18.897,12.402,1.167,110.946,0,1,13,,,,,,,,,,,49
4747,F,2,11,327.231,1379767.863,0.797,77.0,6470723.008,4.436,499.931,1.436,2671.985,24.0,377724.891,0.753,1860.0,58.166,1.295,24.326,13.733,13.476,202.697,1863.491,2772.494,3455618.705,1246.394,0.388,96.452,2,201.006,13.733,13.476,1.393,90.71,0,0,13,,,,,,,,,,,49
4748,F,2,12,226.992,482878.136,0.78,38.0,3297463.281,3.169,364.412,1.493,2252.111,20.0,286610.237,0.829,1226.0,60.031,1.13,23.919,14.033,15.565,237.66,1205.968,2493.346,5657050.797,2268.859,0.222,201.69,4,358.437,14.033,15.565,0.935,153.68,0,2,13,,,,,,,,,,,49
